Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-08BE424EB872883B801ED79964EE93E1C587C9FA3CEA18BC23A605E0E838EB625,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-J510FN-4445-04B645FA8A9EE3029562816CCD296C2185BC46B08C600B8AE978E0840D97B6F94,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFUWA-001-55F20D9F1AA8482C70901CAB993F180812DBE53D7F9D59B7BEE6F09D15FE4F4867A62D38458BB1AA660F455CC442922B3527EB6FF1123E2B3EF70D2C11BD02D1,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-HVD43EC35KTGHC52N9QUMUT287PW1C,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-HXLRP107T47R18J1U159QL1FU4D2CF,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-HMZ16QM3185KWXAQ83E6GEJULHJW40,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,Android DefaultWidevineL3Phone Android Phone,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,
HICHAM,NFCDIE-03-LA89RGU7718YPK9DGHCXR6NY8V8471,Edge OSS - Windows (Cadmium),2024-07-26T22:46:52.324,2024-11-29T19:22:46.753,2024-07-26T22:48:07.054,2024-11-24T00:55:42.543,2024-07-26T22:46:52.324,2024-11-29T19:22:46.753,2024-07-26T22:48:07.054,2024-11-24T00:55:42.543,
HICHAM,NFCDCH-02-L4WXZMDGRVTC85A9DNKEN9A1UC9QYA,Chrome PC (Cadmium),2024-05-22T22:57:05.571,2024-10-30T16:46:46.420,2024-10-30T16:02:52.688,2024-10-30T16:46:46.420,2024-05-22T22:57:05.571,2024-10-30T16:46:46.420,2024-10-30T16:02:52.688,2024-10-30T16:46:46.420,
HICHAM,NFCDCH-02-LK4P28KFNQJTRE2EDA85TJUU4962J9,Chrome PC (Cadmium),2024-10-30T16:01:34.496,2024-10-30T16:01:34.496,,,2024-10-30T16:01:34.496,2024-10-30T16:01:34.496,,,
HICHAM,NFCDIE-03-LHW8U140TECYJ4H0U0JE4K1TF3U4U9,Edge OSS - Windows (Cadmium),2024-10-18T14:10:22.879,2024-10-18T14:21:42.271,2024-10-18T14:10:35.907,2024-10-18T14:10:35.907,2024-10-18T14:10:22.879,2024-10-18T14:21:42.271,2024-10-18T14:10:35.907,2024-10-18T14:10:35.907,
