Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
HICHAM,www,playback,/browse?jbv=81522570,/watch/81686451?trackId=251769321&tctx=0%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2C%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,2024-11-10 21:25:36
HICHAM,www,browseTitles,/watch/81647023?trackId=14170286,/browse,2024-11-10 21:25:26
HICHAM,www,browseTitles,/browse,/browse?jbv=81522570,2024-11-10 21:25:26
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=1%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-19468474A5_p_1731273865731%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647023?trackId=14170286,2024-11-10 21:25:04
HICHAM,www,browseTitles,/watch/81647023?trackId=14170286,/browse,2024-11-10 21:25:04
HICHAM,www,browseTitles,/watch/81647023?trackId=155573560,/browse,2024-11-10 21:24:34
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=1%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-19468474A5_p_1731273865731%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-10 21:24:34
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=1%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-19468474A5_p_1731273865731%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-10 21:24:34
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=1%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-19468474A5_p_1731273865731%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647023?trackId=14170286,2024-11-10 21:24:34
HICHAM,www,playback,https://www.netflix.com/browse,/watch/81647023?trackId=155573560,2024-11-10 21:24:26
